前項條件,後項結果,支持度,信賴度,提升度
電影節目,音樂節目,0.3651596585520076,1.0,2.7385281385281384
音樂節目,電影節目,0.3651596585520076,1.0,2.7385281385281384
"網路服務, 電影節目",音樂節目,0.3651596585520076,1.0,2.7385281385281384
"網路服務, 音樂節目",電影節目,0.3651596585520076,1.0,2.7385281385281384
電影節目,"網路服務, 音樂節目",0.3651596585520076,1.0,2.7385281385281384
音樂節目,"網路服務, 電影節目",0.3651596585520076,1.0,2.7385281385281384
無限資料下載,網路服務,0.6373695858362314,1.0,1.3340362716153522
"電話服務, 無限資料下載",網路服務,0.553904521024344,1.0,1.3340362716153522
"無紙化計費, 無限資料下載",網路服務,0.41195067973442934,1.0,1.3340362716153522
"電話服務, 無限資料下載, 無紙化計費",網路服務,0.3686373695858362,1.0,1.3340362716153522
電影節目,網路服務,0.3651596585520076,1.0,1.3340362716153522
音樂節目,網路服務,0.3651596585520076,1.0,1.3340362716153522
"電影節目, 音樂節目",網路服務,0.3651596585520076,1.0,1.3340362716153522
電視節目,網路服務,0.3619981030667088,1.0,1.3340362716153522
"無紙化計費, 無限資料下載","網路服務, 電話服務",0.3686373695858362,0.8948580199539523,1.3719999598227586
無限資料下載,"網路服務, 電話服務",0.553904521024344,0.8690476190476191,1.332427348059922
"網路服務, 無紙化計費",無限資料下載,0.41195067973442934,0.8527486910994764,1.3379187053311725
"網路服務, 電話服務, 無紙化計費",無限資料下載,0.3686373695858362,0.8517165814463111,1.3362993785291082
網路服務,無限資料下載,0.6373695858362314,0.8502741459299873,1.3340362716153522
"網路服務, 電話服務",無限資料下載,0.553904521024344,0.8492486669898206,1.332427348059922
"網路服務, 無紙化計費","電話服務, 無限資料下載",0.3686373695858362,0.763089005235602,1.3776544084247768
網路服務,"電話服務, 無限資料下載",0.553904521024344,0.7389287220582033,1.3340362716153522
