前項條件,後項結果,支持度,信賴度,提升度
"電話服務, 電影節目","多線路服務, 網路服務",0.35936030103480715,0.7564356435643564,1.3290761803453073
"電話服務, 電影節目",多線路服務,0.35936030103480715,0.7564356435643564,1.2886075145976137
"電話服務, 電影節目, 網路服務",多線路服務,0.35936030103480715,0.7564356435643564,1.2886075145976137
電視節目,電影節目,0.367826904985889,0.7433460076045627,1.4314797211660328
"電視節目, 網路服務",電影節目,0.367826904985889,0.7433460076045627,1.4314797211660328
電視節目,"電影節目, 網路服務",0.367826904985889,0.7433460076045627,1.4314797211660328
電影節目,電視節目,0.367826904985889,0.7083333333333334,1.431479721166033
"電影節目, 網路服務",電視節目,0.367826904985889,0.7083333333333334,1.431479721166033
電影節目,"電視節目, 網路服務",0.367826904985889,0.7083333333333334,1.431479721166033
"多線路服務, 網路服務","電話服務, 無紙化計費, 無限資料下載",0.40169332079021636,0.705785123966942,1.2023230557321465
