郵遞區號,城市,人口數,客戶數量,客戶滲透率 (%)
90263,Malibu,11,5,45.45454545454545
90071,Los Angeles,21,5,23.809523809523807
95937,Dunnigan,19,4,21.052631578947366
95232,Glencoe,21,4,19.047619047619047
95735,Twin Bridges,25,4,16.0
95225,Burson,27,4,14.814814814814813
95978,Stirling City,28,4,14.285714285714285
92338,Ludlow,23,3,13.043478260869565
95736,Weimar,31,4,12.903225806451612
92304,Amboy,42,5,11.904761904761903
91759,Mt Baldy,47,5,10.638297872340425
95140,Mount Hamilton,38,4,10.526315789473683
93634,Lakeshore,52,4,7.6923076923076925
95312,Cressey,55,4,7.2727272727272725
93262,Sequoia National Park,56,4,7.142857142857142
93522,Darwin,64,4,6.25
94972,Valley Ford,66,4,6.0606060606060606
95721,Echo Lake,69,4,5.797101449275362
93530,Keeler,71,4,5.633802816901409
96132,Termo,72,4,5.555555555555555
91980,Tecate,91,5,5.4945054945054945
95984,Twain,73,4,5.47945205479452
95974,Richvale,74,4,5.405405405405405
95226,Campo Seco,75,4,5.333333333333334
95944,Goodyears Bar,76,4,5.263157894736842
93623,Fish Camp,77,4,5.194805194805195
95041,Mount Hermon,77,4,5.194805194805195
96061,Mill Creek,78,4,5.128205128205128
91948,Mount Laguna,81,4,4.938271604938271
96123,Ravendale,61,3,4.918032786885246
95545,Honeydew,82,4,4.878048780487805
96029,Flournoy,84,4,4.761904761904762
96119,Madeline,85,4,4.705882352941177
95923,Canyon Dam,86,4,4.651162790697675
92384,Shoshone,87,4,4.597701149425287
96106,Clio,88,4,4.545454545454546
96085,Scott Bar,88,4,4.545454545454546
95728,Soda Springs,88,4,4.545454545454546
95250,Sheep Ranch,88,4,4.545454545454546
93287,Woody,88,4,4.545454545454546
95429,Dos Rios,91,4,4.395604395604396
93628,Hume,93,4,4.301075268817205
95981,Strawberry Valley,101,4,3.9603960396039604
92332,Essex,115,4,3.4782608695652173
95224,Avery,115,4,3.4782608695652173
93554,Randsburg,117,4,3.418803418803419
95910,Alleghany,118,4,3.389830508474576
96063,Mineral,124,4,3.225806451612903
95325,Hornitos,128,4,3.125
95646,Kirkwood,129,4,3.10077519379845
92267,Parker Dam,131,4,3.0534351145038165
96110,Eagleville,132,4,3.0303030303030303
94512,Birds Landing,138,4,2.898550724637681
96108,Davis Creek,104,3,2.8846153846153846
90743,Surfside,174,5,2.8735632183908044
95986,Washington,145,4,2.7586206896551726
94021,Loma Mar,148,4,2.7027027027027026
95463,Navarro,148,4,2.7027027027027026
93627,Helm,152,4,2.631578947368421
96133,Topaz,116,3,2.586206896551724
95550,Korbel,155,4,2.5806451612903225
94592,Vallejo,159,4,2.515723270440252
92364,Nipton,162,4,2.4691358024691357
96136,Wendel,162,4,2.4691358024691357
95559,Phillipsville,163,4,2.4539877300613497
95305,Big Oak Flat,167,4,2.3952095808383236
96031,Forks Of Salmon,170,4,2.3529411764705883
95625,Elmira,171,4,2.3391812865497075
94569,Port Costa,173,4,2.312138728323699
93645,O Neals,173,4,2.312138728323699
95443,Glenhaven,175,4,2.2857142857142856
95417,Branscomb,176,4,2.272727272727273
95934,Crescent Mills,178,4,2.247191011235955
96071,Old Station,182,4,2.197802197802198
95720,Kyburz,183,4,2.185792349726776
95715,Emigrant Gap,185,4,2.1621621621621623
95430,Duncans Mills,187,4,2.13903743315508
93208,Camp Nelson,191,4,2.094240837696335
95514,Blocksburg,199,4,2.0100502512562812
95587,Piercy,200,4,2.0
95568,Somes Bar,202,4,1.9801980198019802
93429,Casmalia,210,4,1.9047619047619049
95639,Hood,213,4,1.8779342723004695
96076,Platina,215,4,1.8604651162790697
95601,Amador City,222,4,1.8018018018018018
94576,Deer Park,223,4,1.7937219730941705
93207,California Hot Springs,226,4,1.7699115044247788
96126,Sierraville,227,4,1.762114537444934
95637,Guinda,228,4,1.7543859649122806
95537,Fields Landing,228,4,1.7543859649122806
96017,Castella,228,4,1.7543859649122806
92266,Palo Verde,291,5,1.718213058419244
95364,Pinecrest,235,4,1.702127659574468
93276,Tupman,236,4,1.694915254237288
96068,Nubieber,240,4,1.6666666666666667
95493,Witter Springs,240,4,1.6666666666666667
94950,Olema,248,4,1.6129032258064515
93928,Jolon,254,4,1.574803149606299
95595,Zenia,259,4,1.5444015444015444
95511,Alderpoint,261,4,1.532567049808429
95607,Capay,262,4,1.5267175572519083
95925,Challenge,262,4,1.5267175572519083
96074,Paskenta,263,4,1.520912547528517
95837,Sacramento,264,4,1.5151515151515151
95549,Kneeland,264,4,1.5151515151515151
95552,Mad River,265,4,1.509433962264151
96011,Big Bend,265,4,1.509433962264151
93652,Raisin City,265,4,1.509433962264151
93260,Posey,266,4,1.5037593984962405
96046,Hyampom,268,4,1.4925373134328357
96010,Big Bar,269,4,1.486988847583643
95571,Weott,270,4,1.4814814814814816
93603,Badger,273,4,1.465201465201465
93605,Big Creek,273,4,1.465201465201465
95385,Vernalis,274,4,1.4598540145985401
95930,Clipper Mills,282,4,1.4184397163120568
92268,Pioneertown,354,5,1.4124293785310735
96014,Callahan,290,4,1.3793103448275863
94074,San Gregorio,291,4,1.3745704467353952
93244,Lemon Cove,293,4,1.3651877133105803
96037,Greenview,295,4,1.3559322033898304
93226,Glennville,296,4,1.3513513513513513
95471,Rio Nido,298,4,1.342281879194631
95742,Rancho Cordova,299,4,1.3377926421404682
95558,Petrolia,300,4,1.3333333333333335
92305,Angelus Oaks,301,4,1.3289036544850499
95956,Meadow Valley,301,4,1.3289036544850499
93251,Mc Kittrick,302,4,1.3245033112582782
95920,Butte City,303,4,1.3201320132013201
95254,Wallace,304,4,1.3157894736842104
93666,Sultana,306,4,1.3071895424836601
96112,Fort Bidwell,231,3,1.2987012987012987
95488,Westport,309,4,1.2944983818770228
92060,Palomar Mountain,234,3,1.282051282051282
93549,Olancha,318,4,1.257861635220126
95585,Leggett,321,4,1.2461059190031152
96124,Calpine,322,4,1.2422360248447204
93669,Wishon,327,4,1.2232415902140672
94929,Dillon Beach,330,4,1.2121212121212122
