客戶編號,性別,年齡,婚姻,扶養人數,城市,郵遞區號,緯度,經度,推薦次數,加入期間 (月),優惠方式,電話服務,平均長途話費,多線路服務,網路服務,網路連線類型,平均下載量( GB),線上安全服務,線上備份服務,設備保護計劃,技術支援計劃,電視節目,電影節目,音樂節目,無限資料下載,合約類型,無紙化計費,支付帳單方式,每月費用,總費用,總退款,額外數據費用,額外長途費用,總收入,客戶狀態,客戶流失類別,客戶離開原因,Age,Dependents,Total_Revenue,人口估計,CLV,CLV_Group,Churned
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,34.827662,-118.999073,2,9,無優惠,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,Stayed,,,37,0,974.81,4498,974.81,Mid CLV,False
0003-MKNFE,Male,46,No,0,Glendale,91206,34.162515,-118.203869,0,9,無優惠,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,0.0,542.4,38.33,10,96.21,610.28,Stayed,,,46,0,610.28,31297,610.28,Low CLV,False
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,33.645672,-117.922613,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.4500000000001,Churned,Competitor,Competitor had better devices,50,0,415.4500000000001,62069,415.4500000000001,Low CLV,True
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38.014457,-122.115432,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,78,0,1599.51,46677,1599.51,Mid CLV,True
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,3,3,無優惠,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.53999999999996,Churned,Dissatisfaction,Network reliability,75,0,289.53999999999996,42853,289.53999999999996,Low CLV,True
0013-MHZWF,Female,23,No,3,Midpines,95345,37.581496,-119.972762,0,9,Offer E,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.3800000000001,Stayed,,,23,3,722.3800000000001,433,722.3800000000001,Low CLV,False
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,34.757477,-120.550507,1,71,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0,707.16,8611.41,Stayed,,,67,0,8611.41,6165,8611.41,High CLV,False
0014-BMAQU,Male,52,Yes,0,Napa,94558,38.489789,-122.27011,8,63,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20,816.48,6214.280000000001,Stayed,,,52,0,6214.280000000001,63947,6214.280000000001,High CLV,False
0015-UOCOJ,Female,68,No,0,Simi Valley,93063,34.296813,-118.685703,0,7,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,Stayed,,,68,0,414.06,49027,414.06,Low CLV,False
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,38.984756,-121.345074,3,65,無優惠,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.799999999999,Stayed,,,43,1,7807.799999999999,1219,7807.799999999999,High CLV,False
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,無優惠,No,0.0,,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,Stayed,,,47,0,2460.55,1072,2460.55,Mid CLV,False
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72,無優惠,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,Stayed,,,25,2,9609.47,64010,9609.47,High CLV,False
0018-NYROU,Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5,無優惠,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,,,58,0,444.75,36432,444.75,Low CLV,False
0019-EFAEP,Female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,Stayed,,,32,0,7423.25,24005,7423.25,High CLV,False
0019-GFNTW,Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56,無優惠,No,0.0,,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,Stayed,,,39,0,2560.1,1317,2560.1,Mid CLV,False
0020-INWCK,Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,Stayed,,,58,2,8784.86,8870,8784.86,High CLV,False
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,無優惠,No,0.0,,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,Stayed,,,52,1,1993.2,1885,1993.2,Mid CLV,False
0021-IKXGC,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.86999999999999,Joined,,,72,0,79.86999999999999,6760,79.86999999999999,Low CLV,False
0022-TCJCI,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,無優惠,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,79,0,3271.65,63337,3271.65,Mid CLV,True
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,無優惠,No,0.0,,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,67,0,25.1,41707,25.1,Low CLV,True
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,無優惠,Yes,31.43,Yes,No,,0.0,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,Stayed,,,79,0,2877.8,1968,2877.8,Mid CLV,False
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,無優惠,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,26,0,1781.88,1943,1781.88,Mid CLV,True
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,Stayed,,,30,2,2652.88,1054,2652.88,Mid CLV,False
0030-FNXPP,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,無優惠,Yes,3.12,No,No,,0.0,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,,,22,0,66.56,71,66.56,Low CLV,False
0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,,0.0,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,34,0,126.07,155,126.07,Low CLV,True
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,無優惠,No,0.0,,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,37,1,30.5,234,30.5,Low CLV,True
0036-IHMOT,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,無優惠,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,Stayed,,,37,3,7603.95,12587,7603.95,High CLV,False
0040-HALCW,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,無優惠,Yes,19.7,No,No,,0.0,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.3999999999996,Stayed,,,42,3,2154.3999999999996,30668,2154.3999999999996,Mid CLV,False
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,,0.0,,,,,,,,,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8000000000002,Stayed,,,64,0,1430.8000000000002,4101,1430.8000000000002,Mid CLV,False
0042-RLHYP,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,無優惠,Yes,38.39,No,No,,0.0,,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,Stayed,,,47,3,4045.81,23570,4045.81,Mid CLV,False
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,Stayed,,,23,3,4838.92,3064,4838.92,High CLV,False
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,,0.0,,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,Stayed,,,48,0,3330.32,3642,3330.32,Mid CLV,False
